login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,name,company,blog,location,email,hireable,bio,public_repos,public_gists,followers,following,created_at,updated_at
humanrights,8753702,MDEyOk9yZ2FuaXphdGlvbjg3NTM3MDI=,https://avatars1.githubusercontent.com/u/8753702?v=4,,https://api.github.com/users/humanrights,https://github.com/humanrights,https://api.github.com/users/humanrights/followers,https://api.github.com/users/humanrights/following{/other_user},https://api.github.com/users/humanrights/gists{/gist_id},https://api.github.com/users/humanrights/starred{/owner}{/repo},https://api.github.com/users/humanrights/subscriptions,https://api.github.com/users/humanrights/orgs,https://api.github.com/users/humanrights/repos,https://api.github.com/users/humanrights/events{/privacy},https://api.github.com/users/humanrights/received_events,Organization,false,Canadian Museum for Human Rights,,http://humanrights.ca,"Winnipeg, MB",info@humanrights.ca,,,1,0,0,0,2014-09-12T19:39:28Z,2018-08-07T03:12:16Z
mus-nature-ca,18055650,MDEyOk9yZ2FuaXphdGlvbjE4MDU1NjUw,https://avatars0.githubusercontent.com/u/18055650?v=4,,https://api.github.com/users/mus-nature-ca,https://github.com/mus-nature-ca,https://api.github.com/users/mus-nature-ca/followers,https://api.github.com/users/mus-nature-ca/following{/other_user},https://api.github.com/users/mus-nature-ca/gists{/gist_id},https://api.github.com/users/mus-nature-ca/starred{/owner}{/repo},https://api.github.com/users/mus-nature-ca/subscriptions,https://api.github.com/users/mus-nature-ca/orgs,https://api.github.com/users/mus-nature-ca/repos,https://api.github.com/users/mus-nature-ca/events{/privacy},https://api.github.com/users/mus-nature-ca/received_events,Organization,false,Canadian Museum of Nature | Musée canadien de la nature,,http://nature.ca/,,,,,16,0,0,0,2016-03-24T17:12:08Z,2018-07-31T18:40:19Z
ROMtoronto,7251875,MDEyOk9yZ2FuaXphdGlvbjcyNTE4NzU=,https://avatars3.githubusercontent.com/u/7251875?v=4,,https://api.github.com/users/ROMtoronto,https://github.com/ROMtoronto,https://api.github.com/users/ROMtoronto/followers,https://api.github.com/users/ROMtoronto/following{/other_user},https://api.github.com/users/ROMtoronto/gists{/gist_id},https://api.github.com/users/ROMtoronto/starred{/owner}{/repo},https://api.github.com/users/ROMtoronto/subscriptions,https://api.github.com/users/ROMtoronto/orgs,https://api.github.com/users/ROMtoronto/repos,https://api.github.com/users/ROMtoronto/events{/privacy},https://api.github.com/users/ROMtoronto/received_events,Organization,false,Royal Ontario Museum,,http://www.rom.on.ca/,"Toronto, Canada",,,,0,0,0,0,2014-04-10T14:12:12Z,2014-04-10T14:35:13Z
NationalMuseumofDenmark,5967513,MDEyOk9yZ2FuaXphdGlvbjU5Njc1MTM=,https://avatars2.githubusercontent.com/u/5967513?v=4,,https://api.github.com/users/NationalMuseumofDenmark,https://github.com/NationalMuseumofDenmark,https://api.github.com/users/NationalMuseumofDenmark/followers,https://api.github.com/users/NationalMuseumofDenmark/following{/other_user},https://api.github.com/users/NationalMuseumofDenmark/gists{/gist_id},https://api.github.com/users/NationalMuseumofDenmark/starred{/owner}{/repo},https://api.github.com/users/NationalMuseumofDenmark/subscriptions,https://api.github.com/users/NationalMuseumofDenmark/orgs,https://api.github.com/users/NationalMuseumofDenmark/repos,https://api.github.com/users/NationalMuseumofDenmark/events{/privacy},https://api.github.com/users/NationalMuseumofDenmark/received_events,Organization,false,National Museum of Denmark,,http://digital.natmus.dk/,Denmark,,,,15,0,0,0,2013-11-18T09:48:10Z,2018-08-01T22:14:44Z
StatensMuseumforKunst,4436874,MDEyOk9yZ2FuaXphdGlvbjQ0MzY4NzQ=,https://avatars2.githubusercontent.com/u/4436874?v=4,,https://api.github.com/users/StatensMuseumforKunst,https://github.com/StatensMuseumforKunst,https://api.github.com/users/StatensMuseumforKunst/followers,https://api.github.com/users/StatensMuseumforKunst/following{/other_user},https://api.github.com/users/StatensMuseumforKunst/gists{/gist_id},https://api.github.com/users/StatensMuseumforKunst/starred{/owner}{/repo},https://api.github.com/users/StatensMuseumforKunst/subscriptions,https://api.github.com/users/StatensMuseumforKunst/orgs,https://api.github.com/users/StatensMuseumforKunst/repos,https://api.github.com/users/StatensMuseumforKunst/events{/privacy},https://api.github.com/users/StatensMuseumforKunst/received_events,Organization,false,Statens Museum for Kunst,,www.smk.dk,"Copenhagen, Denmark",smk@smk.dk,,,10,0,0,0,2013-05-15T11:00:10Z,2018-09-25T07:44:12Z
FinnishNationalGallery,10829534,MDEyOk9yZ2FuaXphdGlvbjEwODI5NTM0,https://avatars3.githubusercontent.com/u/10829534?v=4,,https://api.github.com/users/FinnishNationalGallery,https://github.com/FinnishNationalGallery,https://api.github.com/users/FinnishNationalGallery/followers,https://api.github.com/users/FinnishNationalGallery/following{/other_user},https://api.github.com/users/FinnishNationalGallery/gists{/gist_id},https://api.github.com/users/FinnishNationalGallery/starred{/owner}{/repo},https://api.github.com/users/FinnishNationalGallery/subscriptions,https://api.github.com/users/FinnishNationalGallery/orgs,https://api.github.com/users/FinnishNationalGallery/repos,https://api.github.com/users/FinnishNationalGallery/events{/privacy},https://api.github.com/users/FinnishNationalGallery/received_events,Organization,false,Finnish National Gallery,,http://www.fng.fi,"Helsinki, FINLAND",,,The Finnish National Gallery is the largest art museum organisation in Finland .,0,0,0,0,2015-02-03T11:44:43Z,2018-08-07T04:42:42Z
MfN-Berlin,7763364,MDEyOk9yZ2FuaXphdGlvbjc3NjMzNjQ=,https://avatars0.githubusercontent.com/u/7763364?v=4,,https://api.github.com/users/MfN-Berlin,https://github.com/MfN-Berlin,https://api.github.com/users/MfN-Berlin/followers,https://api.github.com/users/MfN-Berlin/following{/other_user},https://api.github.com/users/MfN-Berlin/gists{/gist_id},https://api.github.com/users/MfN-Berlin/starred{/owner}{/repo},https://api.github.com/users/MfN-Berlin/subscriptions,https://api.github.com/users/MfN-Berlin/orgs,https://api.github.com/users/MfN-Berlin/repos,https://api.github.com/users/MfN-Berlin/events{/privacy},https://api.github.com/users/MfN-Berlin/received_events,Organization,false,Museum für Naturkunde Berlin,,https://www.naturkundemuseum.berlin,Berlin,,,Natural History Museum in Berlin,50,0,0,0,2014-06-01T23:36:02Z,2017-12-12T15:34:50Z
MKGHamburg,21925842,MDEyOk9yZ2FuaXphdGlvbjIxOTI1ODQy,https://avatars2.githubusercontent.com/u/21925842?v=4,,https://api.github.com/users/MKGHamburg,https://github.com/MKGHamburg,https://api.github.com/users/MKGHamburg/followers,https://api.github.com/users/MKGHamburg/following{/other_user},https://api.github.com/users/MKGHamburg/gists{/gist_id},https://api.github.com/users/MKGHamburg/starred{/owner}{/repo},https://api.github.com/users/MKGHamburg/subscriptions,https://api.github.com/users/MKGHamburg/orgs,https://api.github.com/users/MKGHamburg/repos,https://api.github.com/users/MKGHamburg/events{/privacy},https://api.github.com/users/MKGHamburg/received_events,Organization,false,Museum für Kunst und Gewerbe Hamburg,,www.mkg-hamburg.de,Hamburg. Germany,,,,2,0,0,0,2016-09-02T10:15:04Z,2017-03-10T14:35:34Z
MILEVMUS,13509740,MDQ6VXNlcjEzNTA5NzQw,https://avatars1.githubusercontent.com/u/13509740?v=4,,https://api.github.com/users/MILEVMUS,https://github.com/MILEVMUS,https://api.github.com/users/MILEVMUS/followers,https://api.github.com/users/MILEVMUS/following{/other_user},https://api.github.com/users/MILEVMUS/gists{/gist_id},https://api.github.com/users/MILEVMUS/starred{/owner}{/repo},https://api.github.com/users/MILEVMUS/subscriptions,https://api.github.com/users/MILEVMUS/orgs,https://api.github.com/users/MILEVMUS/repos,https://api.github.com/users/MILEVMUS/events{/privacy},https://api.github.com/users/MILEVMUS/received_events,User,false,Hungarian Jewish Museum and Archives,HJMA,http://milev.hu,Budapest,,,,1,0,1,0,2015-07-26T16:39:26Z,2016-02-28T07:56:43Z
Beit-Hatfutsot,15228676,MDEyOk9yZ2FuaXphdGlvbjE1MjI4Njc2,https://avatars1.githubusercontent.com/u/15228676?v=4,,https://api.github.com/users/Beit-Hatfutsot,https://github.com/Beit-Hatfutsot,https://api.github.com/users/Beit-Hatfutsot/followers,https://api.github.com/users/Beit-Hatfutsot/following{/other_user},https://api.github.com/users/Beit-Hatfutsot/gists{/gist_id},https://api.github.com/users/Beit-Hatfutsot/starred{/owner}{/repo},https://api.github.com/users/Beit-Hatfutsot/subscriptions,https://api.github.com/users/Beit-Hatfutsot/orgs,https://api.github.com/users/Beit-Hatfutsot/repos,https://api.github.com/users/Beit-Hatfutsot/events{/privacy},https://api.github.com/users/Beit-Hatfutsot/received_events,Organization,false,The Museum of the Jewish People ,,http://bh.org.il,Tel Aviv,bennydaon@bh.org.il,,,31,0,0,0,2015-10-21T09:17:17Z,2016-06-06T08:51:19Z
AucklandMuseum,12093846,MDEyOk9yZ2FuaXphdGlvbjEyMDkzODQ2,https://avatars3.githubusercontent.com/u/12093846?v=4,,https://api.github.com/users/AucklandMuseum,https://github.com/AucklandMuseum,https://api.github.com/users/AucklandMuseum/followers,https://api.github.com/users/AucklandMuseum/following{/other_user},https://api.github.com/users/AucklandMuseum/gists{/gist_id},https://api.github.com/users/AucklandMuseum/starred{/owner}{/repo},https://api.github.com/users/AucklandMuseum/subscriptions,https://api.github.com/users/AucklandMuseum/orgs,https://api.github.com/users/AucklandMuseum/repos,https://api.github.com/users/AucklandMuseum/events{/privacy},https://api.github.com/users/AucklandMuseum/received_events,Organization,false,Auckland War Memorial Museum,,http://www.aucklandmuseum.com,"Auckland, New Zealand",,,,13,0,0,0,2015-04-24T03:56:26Z,2015-11-04T22:28:28Z
knreise,4891937,MDEyOk9yZ2FuaXphdGlvbjQ4OTE5Mzc=,https://avatars1.githubusercontent.com/u/4891937?v=4,,https://api.github.com/users/knreise,https://github.com/knreise,https://api.github.com/users/knreise/followers,https://api.github.com/users/knreise/following{/other_user},https://api.github.com/users/knreise/gists{/gist_id},https://api.github.com/users/knreise/starred{/owner}{/repo},https://api.github.com/users/knreise/subscriptions,https://api.github.com/users/knreise/orgs,https://api.github.com/users/knreise/repos,https://api.github.com/users/knreise/events{/privacy},https://api.github.com/users/knreise/received_events,Organization,false,KNreise,,,,,,,12,0,0,0,2013-06-30T12:46:49Z,2015-05-20T18:11:26Z
nasjonalmuseet,7304929,MDEyOk9yZ2FuaXphdGlvbjczMDQ5Mjk=,https://avatars0.githubusercontent.com/u/7304929?v=4,,https://api.github.com/users/nasjonalmuseet,https://github.com/nasjonalmuseet,https://api.github.com/users/nasjonalmuseet/followers,https://api.github.com/users/nasjonalmuseet/following{/other_user},https://api.github.com/users/nasjonalmuseet/gists{/gist_id},https://api.github.com/users/nasjonalmuseet/starred{/owner}{/repo},https://api.github.com/users/nasjonalmuseet/subscriptions,https://api.github.com/users/nasjonalmuseet/orgs,https://api.github.com/users/nasjonalmuseet/repos,https://api.github.com/users/nasjonalmuseet/events{/privacy},https://api.github.com/users/nasjonalmuseet/received_events,Organization,false,Nasjonalmuseet,,http://nasjonalmuseet.no,"Oslo, Norway",,,,5,0,0,0,2014-04-15T16:48:31Z,2018-08-07T01:12:04Z
nationalmuseum,33124498,MDEyOk9yZ2FuaXphdGlvbjMzMTI0NDk4,https://avatars1.githubusercontent.com/u/33124498?v=4,,https://api.github.com/users/nationalmuseum,https://github.com/nationalmuseum,https://api.github.com/users/nationalmuseum/followers,https://api.github.com/users/nationalmuseum/following{/other_user},https://api.github.com/users/nationalmuseum/gists{/gist_id},https://api.github.com/users/nationalmuseum/starred{/owner}{/repo},https://api.github.com/users/nationalmuseum/subscriptions,https://api.github.com/users/nationalmuseum/orgs,https://api.github.com/users/nationalmuseum/repos,https://api.github.com/users/nationalmuseum/events{/privacy},https://api.github.com/users/nationalmuseum/received_events,Organization,false,National Museum in Warsaw,,www.mnw.art.pl,"Warsaw, Poland",it@mnw.art.pl,,,5,0,0,0,2017-10-26T12:54:12Z,2017-10-26T13:15:05Z
SlovakNationalGallery,7643176,MDEyOk9yZ2FuaXphdGlvbjc2NDMxNzY=,https://avatars0.githubusercontent.com/u/7643176?v=4,,https://api.github.com/users/SlovakNationalGallery,https://github.com/SlovakNationalGallery,https://api.github.com/users/SlovakNationalGallery/followers,https://api.github.com/users/SlovakNationalGallery/following{/other_user},https://api.github.com/users/SlovakNationalGallery/gists{/gist_id},https://api.github.com/users/SlovakNationalGallery/starred{/owner}{/repo},https://api.github.com/users/SlovakNationalGallery/subscriptions,https://api.github.com/users/SlovakNationalGallery/orgs,https://api.github.com/users/SlovakNationalGallery/repos,https://api.github.com/users/SlovakNationalGallery/events{/privacy},https://api.github.com/users/SlovakNationalGallery/received_events,Organization,false,Slovenská národná galéria,,http://lab.sng.sk,Slovakia,,,,28,0,0,0,2014-05-20T09:34:02Z,2018-09-03T15:12:08Z
kalmarlansmuseum,11423659,MDQ6VXNlcjExNDIzNjU5,https://avatars0.githubusercontent.com/u/11423659?v=4,,https://api.github.com/users/kalmarlansmuseum,https://github.com/kalmarlansmuseum,https://api.github.com/users/kalmarlansmuseum/followers,https://api.github.com/users/kalmarlansmuseum/following{/other_user},https://api.github.com/users/kalmarlansmuseum/gists{/gist_id},https://api.github.com/users/kalmarlansmuseum/starred{/owner}{/repo},https://api.github.com/users/kalmarlansmuseum/subscriptions,https://api.github.com/users/kalmarlansmuseum/orgs,https://api.github.com/users/kalmarlansmuseum/repos,https://api.github.com/users/kalmarlansmuseum/events{/privacy},https://api.github.com/users/kalmarlansmuseum/received_events,User,false,Kalmar läns museum,Kalmar läns museum,http://www.kalmarlansmuseum.se/,"Kalmar, Sweden",,,,2,1,0,0,2015-03-11T12:14:42Z,2017-01-17T06:21:51Z
lshSWE,22341197,MDEyOk9yZ2FuaXphdGlvbjIyMzQxMTk3,https://avatars3.githubusercontent.com/u/22341197?v=4,,https://api.github.com/users/lshSWE,https://github.com/lshSWE,https://api.github.com/users/lshSWE/followers,https://api.github.com/users/lshSWE/following{/other_user},https://api.github.com/users/lshSWE/gists{/gist_id},https://api.github.com/users/lshSWE/starred{/owner}{/repo},https://api.github.com/users/lshSWE/subscriptions,https://api.github.com/users/lshSWE/orgs,https://api.github.com/users/lshSWE/repos,https://api.github.com/users/lshSWE/events{/privacy},https://api.github.com/users/lshSWE/received_events,Organization,false,"The Royal Armoury, Skokloster Castle and the Hallwyl Museum",,www.lsh.se,"Stockholm, Sweden",,,Three Swedish Museums,1,0,0,0,2016-09-21T08:21:58Z,2016-09-30T07:06:08Z
NationalmuseumSWE,22023924,MDEyOk9yZ2FuaXphdGlvbjIyMDIzOTI0,https://avatars3.githubusercontent.com/u/22023924?v=4,,https://api.github.com/users/NationalmuseumSWE,https://github.com/NationalmuseumSWE,https://api.github.com/users/NationalmuseumSWE/followers,https://api.github.com/users/NationalmuseumSWE/following{/other_user},https://api.github.com/users/NationalmuseumSWE/gists{/gist_id},https://api.github.com/users/NationalmuseumSWE/starred{/owner}{/repo},https://api.github.com/users/NationalmuseumSWE/subscriptions,https://api.github.com/users/NationalmuseumSWE/orgs,https://api.github.com/users/NationalmuseumSWE/repos,https://api.github.com/users/NationalmuseumSWE/events{/privacy},https://api.github.com/users/NationalmuseumSWE/received_events,Organization,false,Nationalmuseum Sweden,,http://www.nationalmuseum.se/sv/English-startpage/,,,,,3,0,0,0,2016-09-06T08:39:53Z,2016-10-04T06:43:15Z
NordicMuseum,18186908,MDEyOk9yZ2FuaXphdGlvbjE4MTg2OTA4,https://avatars1.githubusercontent.com/u/18186908?v=4,,https://api.github.com/users/NordicMuseum,https://github.com/NordicMuseum,https://api.github.com/users/NordicMuseum/followers,https://api.github.com/users/NordicMuseum/following{/other_user},https://api.github.com/users/NordicMuseum/gists{/gist_id},https://api.github.com/users/NordicMuseum/starred{/owner}{/repo},https://api.github.com/users/NordicMuseum/subscriptions,https://api.github.com/users/NordicMuseum/orgs,https://api.github.com/users/NordicMuseum/repos,https://api.github.com/users/NordicMuseum/events{/privacy},https://api.github.com/users/NordicMuseum/received_events,Organization,false,Nordic Museum,,http://www.nordiskamuseet.se/en,"Stockholm, Sweden",,,The Nordic Museum is Sweden’s largest cultural history museum.,9,0,0,0,2016-03-31T09:10:55Z,2017-03-30T13:02:42Z
riksantikvarieambetet,32268282,MDEyOk9yZ2FuaXphdGlvbjMyMjY4Mjgy,https://avatars3.githubusercontent.com/u/32268282?v=4,,https://api.github.com/users/riksantikvarieambetet,https://github.com/riksantikvarieambetet,https://api.github.com/users/riksantikvarieambetet/followers,https://api.github.com/users/riksantikvarieambetet/following{/other_user},https://api.github.com/users/riksantikvarieambetet/gists{/gist_id},https://api.github.com/users/riksantikvarieambetet/starred{/owner}{/repo},https://api.github.com/users/riksantikvarieambetet/subscriptions,https://api.github.com/users/riksantikvarieambetet/orgs,https://api.github.com/users/riksantikvarieambetet/repos,https://api.github.com/users/riksantikvarieambetet/events{/privacy},https://api.github.com/users/riksantikvarieambetet/received_events,Organization,false,Riksantikvarieämbetet,,https://www.raa.se/,Sweden,,,Swedish National Heritage Board,15,0,0,0,2017-09-25T13:31:12Z,2018-03-09T18:54:05Z
Statens-maritima-museer,9825343,MDEyOk9yZ2FuaXphdGlvbjk4MjUzNDM=,https://avatars3.githubusercontent.com/u/9825343?v=4,,https://api.github.com/users/Statens-maritima-museer,https://github.com/Statens-maritima-museer,https://api.github.com/users/Statens-maritima-museer/followers,https://api.github.com/users/Statens-maritima-museer/following{/other_user},https://api.github.com/users/Statens-maritima-museer/gists{/gist_id},https://api.github.com/users/Statens-maritima-museer/starred{/owner}{/repo},https://api.github.com/users/Statens-maritima-museer/subscriptions,https://api.github.com/users/Statens-maritima-museer/orgs,https://api.github.com/users/Statens-maritima-museer/repos,https://api.github.com/users/Statens-maritima-museer/events{/privacy},https://api.github.com/users/Statens-maritima-museer/received_events,Organization,false,Statens maritima museer,,http://www.maritima.se/,Sweden,,,"National Maritime Museums is a public agency for Swedish maritime cultural heritage. Runs the Naval Museum, Maritime Museum and Vasa Museum",1,0,0,0,2014-11-18T16:25:32Z,2014-11-19T12:30:09Z
AdlerPlanetarium,2287440,MDEyOk9yZ2FuaXphdGlvbjIyODc0NDA=,https://avatars3.githubusercontent.com/u/2287440?v=4,,https://api.github.com/users/AdlerPlanetarium,https://github.com/AdlerPlanetarium,https://api.github.com/users/AdlerPlanetarium/followers,https://api.github.com/users/AdlerPlanetarium/following{/other_user},https://api.github.com/users/AdlerPlanetarium/gists{/gist_id},https://api.github.com/users/AdlerPlanetarium/starred{/owner}{/repo},https://api.github.com/users/AdlerPlanetarium/subscriptions,https://api.github.com/users/AdlerPlanetarium/orgs,https://api.github.com/users/AdlerPlanetarium/repos,https://api.github.com/users/AdlerPlanetarium/events{/privacy},https://api.github.com/users/AdlerPlanetarium/received_events,Organization,false,Adler Planetarium,,http://www.adlerplanetarium.org,"Chicago, IL",,,,19,0,0,0,2012-09-05T20:38:31Z,2018-07-31T23:10:04Z
